id,timeline,start.time,duration,game,point.number,yang.score,alexandre.score,row,rally.shot.number,rally.shot,rally.stroke,rally.success,x1,y1,x2,y2,shot.origin,shot.location,serve,return,serve.type,serve.from,serve.outcome,first.attack,key.shot,key.shot.type,winner,error,error.area,error.type,match.event,hand,handedness,point.won,point.lost,w.l
1,Game 1,1.3,1,26WPF_AUS_M11,1,0,0,yang serve,1,close_table_serve,serve,1,,,,,yang,,yang,alexandre,,,,,,,yang,,,,close_table_serve,,,yang,alexandre,W
2,Game 1,1.4333333333333333,1,26WPF_AUS_M11,1,0,0,yang close_table_bounce,2,close_table_bounce,close_table_bounce,1,,,,,yang,"199.0,145.0",NA,NA,,,,,,,yang,,,,close_table_bounce,,,yang,alexandre,W
3,Game 1,1.8666666666666667,1,26WPF_AUS_M11,1,0,0,alexandre backhand,3,far_table_backhand,backhand,1,,,,,alexandre,,NA,NA,,,,,,,yang,,,,far_table_backhand,,,yang,alexandre,W
4,Game 1,2.2333333333333334,1,26WPF_AUS_M11,1,0,0,yang close_table_bounce,4,close_table_bounce,close_table_bounce,1,,,,,yang,"286.0,153.0",NA,NA,,,,,,,yang,,,,close_table_bounce,,,yang,alexandre,W
5,Game 1,2.466666666666667,1,26WPF_AUS_M11,1,0,0,yang forehand,5,close_table_forehand,forehand,1,,,,,yang,,NA,NA,,,,,,,yang,,,,close_table_forehand,,,yang,alexandre,W
6,Game 1,2.7666666666666666,1,26WPF_AUS_M11,1,0,0,alexandre far_table_bounce,6,far_table_bounce,far_table_bounce,1,,,,,alexandre,"315.0,75.0",NA,NA,,,,,,,yang,,,,far_table_bounce,,,yang,alexandre,W
7,Game 1,2.8666666666666667,1,26WPF_AUS_M11,1,0,0,alexandre forehand,7,far_table_forehand,forehand,1,,,,,alexandre,,NA,NA,,,,,,,yang,,,,far_table_forehand,,,yang,alexandre,W
8,Game 1,3.033333333333333,1,26WPF_AUS_M11,1,0,0,alexandre far_table_bounce,8,far_table_bounce,far_table_bounce,1,,,,,alexandre,"244.0,118.0",NA,NA,,,,,,,yang,,,,far_table_bounce,,,yang,alexandre,W
9,Game 1,3.1666666666666665,1,26WPF_AUS_M11,1,0,0,yang close_table_bounce,9,close_table_bounce,close_table_bounce,1,,,,,yang,"252.0,121.0",NA,NA,,,,,,,yang,,,,close_table_bounce,,,yang,alexandre,W
10,Game 1,3.3,1,26WPF_AUS_M11,1,0,0,yang close_table_bounce,10,close_table_bounce,close_table_bounce,1,,,,,yang,"441.0,9.0",NA,NA,,,,,,,yang,,,,close_table_bounce,,,yang,alexandre,W
11,Game 1,9.433333333333334,1,26WPF_AUS_M11,2,1,0,alexandre serve,1,far_table_serve,serve,1,,,,,alexandre,,alexandre,yang,,,,,,,alexandre,,,,far_table_serve,,,alexandre,yang,L
12,Game 1,9.633333333333333,1,26WPF_AUS_M11,2,1,0,yang close_table_bounce,2,close_table_bounce,close_table_bounce,1,,,,,yang,"221.0,138.0",NA,NA,,,,,,,alexandre,,,,close_table_bounce,,,alexandre,yang,L
13,Game 1,10.033333333333333,1,26WPF_AUS_M11,2,1,0,alexandre far_table_bounce,3,far_table_bounce,far_table_bounce,1,,,,,alexandre,"293.0,113.0",NA,NA,,,,,,,alexandre,,,,far_table_bounce,,,alexandre,yang,L
14,Game 1,10.166666666666666,1,26WPF_AUS_M11,2,1,0,alexandre backhand,4,far_table_backhand,backhand,1,,,,,alexandre,,NA,NA,,,,,,,alexandre,,,,far_table_backhand,,,alexandre,yang,L
15,Game 1,10.566666666666666,1,26WPF_AUS_M11,2,1,0,yang close_table_bounce,5,close_table_bounce,close_table_bounce,1,,,,,yang,"262.0,137.0",NA,NA,,,,,,,alexandre,,,,close_table_bounce,,,alexandre,yang,L
16,Game 1,10.8,1,26WPF_AUS_M11,2,1,0,yang backhand,6,close_table_backhand,backhand,1,,,,,yang,,NA,NA,,,,,,,alexandre,,,,close_table_backhand,,,alexandre,yang,L
